Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,0,0,2,Export,524,Nepal,NPL,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,98372372,,,4
H5,2019,2019,2019,0,0,1,Import,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,12406397027,,,4
H5,2019,2019,2019,0,0,2,Export,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2036877333,,,4
H5,2019,2019,2019,0,0,3,Re-Export,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,40499732,,,0
H5,2019,2019,2019,0,0,4,Re-Import,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,25855811,,,0
H5,2019,2019,2019,0,0,1,Import,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1008553405,,,4
H5,2019,2019,2019,0,0,2,Export,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,66306387,,,4
H5,2019,2019,2019,0,0,3,Re-Export,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,212650,,,0
H5,2019,2019,2019,0,0,4,Re-Import,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4191691,,,0
H5,2019,2019,2019,0,0,1,Import,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2611001633,,,4
H5,2019,2019,2019,0,0,2,Export,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4030369559,,,4
H5,2019,2019,2019,0,0,3,Re-Export,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,23076703,,,0
H5,2019,2019,2019,0,0,4,Re-Import,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,46168995,,,0
H5,2020,2020,2020,0,0,1,Import,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,12486525412,,,4
H5,2020,2020,2020,0,0,2,Export,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1867039487,,,4
H5,2020,2020,2020,0,0,3,Re-Export,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,16089214,,,0
H5,2020,2020,2020,0,0,4,Re-Import,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,11520583,,,0
H5,2020,2020,2020,0,0,1,Import,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,242680597,,,4
H5,2020,2020,2020,0,0,2,Export,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,167790,,,4
H5,2020,2020,2020,0,0,3,Re-Export,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,65962,,,0
H5,2020,2020,2020,0,0,1,Import,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2583822398,,,4
H5,2020,2020,2020,0,0,2,Export,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4141846579,,,4
H5,2020,2020,2020,0,0,3,Re-Export,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,21081456,,,0
H5,2020,2020,2020,0,0,4,Re-Import,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3654450,,,0
H5,2021,2021,2021,0,0,1,Import,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,20644679087,,,4
H5,2021,2021,2021,0,0,2,Export,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3033900047,,,4
H5,2021,2021,2021,0,0,3,Re-Export,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,8341811,,,4
H5,2021,2021,2021,0,0,4,Re-Import,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,23496082,,,4
H5,2021,2021,2021,0,0,1,Import,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,393980278,,,4
H5,2021,2021,2021,0,0,2,Export,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,240467,,,4
H5,2021,2021,2021,0,0,3,Re-Export,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,182351,,,4
H5,2021,2021,2021,0,0,1,Import,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3829896996,,,4
H5,2021,2021,2021,0,0,2,Export,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,6076912908,,,4
